context_i,context_j,best_cell,d,abs_d,n_i,n_j
splice_donor,splice_acceptor,M3_geo_a0.5_b1.0,-0.11238181539156683,0.11238181539156683,10000,10000
splice_donor,coding_exon,M5_tau_refB,-0.35561329464961416,0.35561329464961416,10000,10000
splice_donor,5utr,M5_tau_refB,-0.39703790691683194,0.39703790691683194,10000,10000
splice_donor,3utr,M3_geo_a0.5_b1.0,-0.5519575372663587,0.5519575372663587,10000,10000
splice_donor,intron,M3_geo_a0.5_b1.0,-0.8104772714334736,0.8104772714334736,10000,10000
splice_donor,intergenic,M5_tau_refB,-0.5343003146188299,0.5343003146188299,10000,10000
splice_acceptor,coding_exon,M5_tau_refB,-0.33790582354399956,0.33790582354399956,10000,10000
splice_acceptor,5utr,M5_tau_refB,-0.37972475401301853,0.37972475401301853,10000,10000
splice_acceptor,3utr,M3_geo_a0.0_b1.0,-0.6271262116548485,0.6271262116548485,10000,10000
splice_acceptor,intron,M3_geo_a0.0_b1.0,-0.8475219126971133,0.8475219126971133,10000,10000
splice_acceptor,intergenic,M5_tau_refB,-0.5191762508945107,0.5191762508945107,10000,10000
coding_exon,5utr,M1_dir_refC,0.3193421650310772,0.3193421650310772,10000,10000
coding_exon,3utr,M3_geo_a0.0_b1.0,-0.7113453592852103,0.7113453592852103,10000,10000
coding_exon,intron,M3_geo_a0.0_b1.0,-0.9358324578397399,0.9358324578397399,10000,10000
coding_exon,intergenic,M3_geo_a0.0_b1.0,-0.5296451089380205,0.5296451089380205,10000,10000
5utr,3utr,M3_geo_a0.5_b1.0,-0.5737960145943514,0.5737960145943514,10000,10000
5utr,intron,M3_geo_a0.5_b1.0,-0.8326182104311107,0.8326182104311107,10000,10000
5utr,intergenic,M1_dir_refA,0.4624473359798864,0.4624473359798864,10000,10000
3utr,intron,M1_dir_refC,-0.2769183881164325,0.2769183881164325,10000,10000
3utr,intergenic,M2_mag_refA,-0.448286918995303,0.448286918995303,10000,10000
intron,intergenic,M3_geo_a0.5_b1.0,0.4495481990762526,0.4495481990762526,10000,10000
